trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20251110,SZSE,1215244201697.0,125280171081.0,120848076620.0,5738260783.0,19444888.0,1220982462480.0,742623579.0
20251110,SSE,1259999647179.0,116708686985.0,113408814921.0,12521708552.0,53908098.0,1272521355731.0,2641430759.0
20251110,BSE,7912050740.0,799148580.0,2237021238.0,662222.0,6089.0,7912712962.0,31751.0
20251107,SZSE,1210824546918.0,112965196458.0,113551026904.0,5743305121.0,19236949.0,1216567852039.0,751770723.0
20251107,SSE,1256749257881.0,104761396722.0,109173566868.0,12421627048.0,44767513.0,1269170884929.0,2630739455.0
20251107,BSE,7953811019.0,824829302.0,2305154113.0,508538.0,1875.0,7954319557.0,27537.0
20251106,SZSE,1211419187596.0,115431966429.0,114678481675.0,5790711261.0,29105533.0,1217209898857.0,758480684.0
20251106,SSE,1261172891066.0,117504606535.0,111175593010.0,12508894750.0,73157292.0,1273681785816.0,2643405964.0
20251106,BSE,7957295139.0,774064587.0,2247419651.0,442662.0,0.0,7957737801.0,25662.0
20251105,SZSE,1210682368081.0,100854061131.0,101278697605.0,5672023148.0,22087746.0,1216354391229.0,751498827.0
20251105,SSE,1254887414434.0,98363561353.0,98053070149.0,12261868142.0,56235227.0,1267149282576.0,2624792119.0
20251105,BSE,7974040243.0,780021762.0,2298065835.0,471359.0,500.0,7974511602.0,26662.0
20251104,SZSE,1211117002540.0,100059050589.0,102671373027.0,5663886429.0,22816482.0,1216780888969.0,754648809.0
20251104,SSE,1254595845948.0,96989095599.0,97662749952.0,12271274643.0,93814773.0,1266867120591.0,2635464505.0
20251104,BSE,7974123661.0,787430196.0,2297377261.0,473533.0,0.0,7974597194.0,26662.0
20251103,SZSE,1213738229598.0,114790960972.0,112057206435.0,5690005289.0,29549338.0,1219428234887.0,752447331.0
20251103,SSE,1255284930321.0,113912656889.0,108505536958.0,12066303628.0,100207481.0,1267351233949.0,2578686852.0
